date,location,crime_type,perp_age,perp_gender,perp_occupation,motive,status
2023-12-16,Sulawesi Selatan,Penipuan,30,Perempuan,Perawat,Kebutuhan Mendesak,Dalam Proses
2023-06-12,Sulawesi Selatan,Pencurian,44,Perempuan,Sopir,Dendam,Selesai
2023-10-08,Riau,Korupsi,19,Laki-laki,Pedagang,Konflik Personal,Dalam Proses
2020-08-29,Sumatera Utara,Penganiayaan,34,Perempuan,Petani,Kebutuhan Mendesak,Selesai
2020-08-27,Sumatera Selatan,Penyalahgunaan Narkoba,15,Perempuan,Pedagang,Konflik Personal,Selesai
2023-11-21,Bali,Penganiayaan,20,Laki-laki,Pedagang,Provokasi,Belum Terselesaikan
2022-03-06,Jawa Timur,Perampokan,21,Laki-laki,Mahasiswa,Keserakahan,Selesai
2020-10-09,Jambi,Perampokan,28,Laki-laki,Sopir,Tekanan Sosial,Selesai
2022-05-16,Sulawesi Selatan,Perampokan,16,Laki-laki,Pedagang,Gangguan Mental,Belum Terselesaikan
2023-07-25,Sumatera Selatan,Penipuan,47,Laki-laki,Wiraswasta,Pengaruh Lingkungan,Selesai
2023-08-14,Sumatera Utara,Pencurian,28,Perempuan,TNI,Cemburu,Selesai
2023-02-10,Jawa Barat,Perampokan,20,Laki-laki,Pedagang,Gangguan Mental,Selesai
2021-08-14,Maluku,Pencurian,25,Laki-laki,Pedagang,Cemburu,Selesai
2021-10-06,Jawa Timur,Perampokan,17,Laki-laki,Polisi,Gangguan Mental,Selesai
2023-06-22,Jawa Barat,Penyalahgunaan Narkoba,26,Laki-laki,Tidak Bekerja,Konflik Personal,Dalam Proses
2020-01-20,Maluku,Korupsi,24,Perempuan,Pelajar,Cemburu,Belum Terselesaikan
2021-02-03,Bali,Pencurian,22,Perempuan,Polisi,Tekanan Sosial,Selesai
2023-02-24,DKI Jakarta,Penipuan,28,Laki-laki,Wiraswasta,Ketidaktahuan Hukum,Selesai
2022-10-10,Sumatera Selatan,Pemerkosaan,23,Laki-laki,Mahasiswa,Ketidaktahuan Hukum,Selesai
2022-10-04,Sulawesi Utara,Korupsi,28,Laki-laki,Mahasiswa,Pengaruh Lingkungan,Selesai
2024-09-16,Kalimantan Timur,Pemerkosaan,19,Laki-laki,Pelajar,Gangguan Mental,Dalam Proses
2020-12-08,Bali,Korupsi,31,Laki-laki,Buruh,Keserakahan,Selesai
2020-03-04,DKI Jakarta,Pencurian,25,Perempuan,Perawat,Kecanduan,Selesai
2021-08-21,Jawa Tengah,Pencurian,24,Laki-laki,Tidak Bekerja,Kebutuhan Mendesak,Selesai
2021-04-05,Jawa Tengah,Pencurian Kendaraan Bermotor,18,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Selesai
2020-12-10,Jawa Timur,Pemerkosaan,23,Perempuan,Perawat,Gangguan Mental,Dalam Proses
2023-03-04,Sumatera Barat,Pencurian,25,Laki-laki,Guru,Gangguan Mental,Dalam Proses
2023-01-30,Jawa Barat,Penganiayaan,15,Perempuan,Wiraswasta,Dendam,Dalam Proses
2023-03-18,Kalimantan Selatan,Pencurian,30,Laki-laki,Buruh,Kebutuhan Mendesak,Selesai
2024-05-06,Jawa Barat,Kekerasan Dalam Rumah Tangga,27,Laki-laki,Wiraswasta,Konflik Personal,Dalam Proses
2023-01-15,DKI Jakarta,Penipuan,18,Laki-laki,Polisi,Ekonomi,Belum Terselesaikan
2024-04-05,DKI Jakarta,Korupsi,23,Perempuan,Guru,Gangguan Mental,Selesai
2023-01-23,Riau,Penganiayaan,34,Laki-laki,Petani,Tekanan Sosial,Selesai
2020-07-28,DKI Jakarta,Kekerasan Dalam Rumah Tangga,28,Laki-laki,Guru,Ketidaktahuan Hukum,Belum Terselesaikan
2024-03-18,Jawa Barat,Penganiayaan,25,Laki-laki,Petani,Kebutuhan Mendesak,Dalam Proses
2024-11-26,DKI Jakarta,Pencurian,33,Laki-laki,Tidak Bekerja,Gangguan Mental,Selesai
2021-06-22,Jawa Barat,Pemerkosaan,21,Perempuan,PNS,Dendam,Selesai
2022-06-18,Jawa Timur,Pencurian,31,Perempuan,Polisi,Dendam,Selesai
2024-05-07,Kalimantan Timur,Penganiayaan,44,Laki-laki,Perawat,Kecanduan,Selesai
2021-03-05,Sumatera Utara,Penganiayaan,30,Laki-laki,Perawat,Pengaruh Lingkungan,Selesai
2023-04-19,Sumatera Utara,Penganiayaan,29,Laki-laki,Guru,Konflik Personal,Dalam Proses
2024-10-29,Bengkulu,Pencurian Kendaraan Bermotor,30,Perempuan,Guru,Keserakahan,Selesai
2023-07-19,Sumatera Barat,Pembunuhan,26,Laki-laki,Mahasiswa,Cemburu,Selesai
2023-06-15,Sumatera Utara,Penganiayaan,36,Laki-laki,Pedagang,Kecanduan,Dalam Proses
2024-07-24,DKI Jakarta,Pencurian,39,Laki-laki,Petani,Ekonomi,Selesai
2023-03-13,Sumatera Barat,Pencurian,18,Perempuan,PNS,Provokasi,Selesai
2021-07-29,Kalimantan Timur,Penipuan,25,Laki-laki,Sopir,Provokasi,Belum Terselesaikan
2020-12-10,Jawa Tengah,Penipuan,27,Perempuan,PNS,Pengaruh Lingkungan,Selesai
2021-08-22,Jawa Tengah,Pencurian,28,Laki-laki,Pegawai Swasta,Keserakahan,Belum Terselesaikan
2021-07-01,Kalimantan Timur,Pencurian,29,Laki-laki,Polisi,Provokasi,Selesai
2023-10-23,Jawa Timur,Pencurian,24,Laki-laki,Polisi,Dendam,Belum Terselesaikan
2020-10-04,Jawa Barat,Penganiayaan,16,Laki-laki,Perawat,Tekanan Sosial,Dalam Proses
2020-05-01,Sumatera Utara,Penganiayaan,15,Laki-laki,Pegawai Swasta,Ketidaktahuan Hukum,Selesai
2020-09-16,DKI Jakarta,Penyalahgunaan Narkoba,32,Laki-laki,Guru,Cemburu,Selesai
2021-05-26,Sumatera Utara,Penipuan,20,Laki-laki,Pedagang,Pengaruh Lingkungan,Selesai
2021-10-21,Kalimantan Timur,Penyalahgunaan Narkoba,25,Laki-laki,Polisi,Kecanduan,Selesai
2024-04-08,DKI Jakarta,Korupsi,15,Laki-laki,Polisi,Ketidaktahuan Hukum,Selesai
2022-03-15,Jawa Tengah,Pencurian,22,Laki-laki,Pelajar,Cemburu,Dalam Proses
2023-03-28,Jawa Tengah,Penyalahgunaan Narkoba,29,Laki-laki,Tukang,Kebutuhan Mendesak,Selesai
2023-07-09,Kalimantan Timur,Pencurian,15,Laki-laki,Mahasiswa,Tekanan Sosial,Dalam Proses
2022-07-14,Bali,Kekerasan Dalam Rumah Tangga,39,Laki-laki,Buruh,Ketidaktahuan Hukum,Selesai
2024-06-15,Jawa Barat,Penipuan,15,Perempuan,TNI,Dendam,Selesai
2022-04-05,Jawa Timur,Penipuan,25,Perempuan,Wiraswasta,Pengaruh Lingkungan,Dalam Proses
2021-07-23,Sumatera Selatan,Penipuan,28,Laki-laki,Guru,Konflik Personal,Selesai
2022-07-20,Kalimantan Timur,Pencurian,36,Perempuan,Pelajar,Konflik Personal,Selesai
2023-04-06,Jawa Tengah,Pencurian,26,Laki-laki,Tidak Bekerja,Pengaruh Lingkungan,Dalam Proses
2020-07-09,Jawa Timur,Pencurian Kendaraan Bermotor,15,Laki-laki,Guru,Gangguan Mental,Dalam Proses
2023-07-24,DKI Jakarta,Penipuan,34,Perempuan,Tukang,Pengaruh Lingkungan,Selesai
2022-01-03,DKI Jakarta,Pemerkosaan,15,Laki-laki,Polisi,Dendam,Dalam Proses
2024-06-17,Sumatera Barat,Pembunuhan,33,Laki-laki,Wiraswasta,Tekanan Sosial,Selesai
2021-03-22,Sumatera Selatan,Pencurian Kendaraan Bermotor,28,Perempuan,Mahasiswa,Kecanduan,Belum Terselesaikan
2022-10-10,DKI Jakarta,Pencurian,37,Laki-laki,Pegawai Swasta,Konflik Personal,Selesai
2024-08-23,Sulawesi Selatan,Pencurian,31,Laki-laki,Pegawai Swasta,Konflik Personal,Selesai
2023-01-25,Sumatera Barat,Perampokan,37,Laki-laki,Sopir,Cemburu,Selesai
2023-03-05,Sumatera Selatan,Penipuan,15,Laki-laki,Polisi,Gangguan Mental,Selesai
2024-06-02,Jawa Barat,Penganiayaan,31,Perempuan,PNS,Ketidaktahuan Hukum,Selesai
2024-04-10,Jawa Timur,Penipuan,34,Laki-laki,Tidak Bekerja,Ekonomi,Selesai
2020-07-22,Sumatera Selatan,Kekerasan Dalam Rumah Tangga,22,Perempuan,Tukang,Gangguan Mental,Dalam Proses
2020-02-03,Maluku,Penipuan,34,Laki-laki,Buruh,Cemburu,Selesai
2022-06-22,Sumatera Selatan,Penipuan,28,Laki-laki,Pelajar,Ekonomi,Dalam Proses
2022-05-26,Kalimantan Selatan,Penyalahgunaan Narkoba,16,Laki-laki,Petani,Pengaruh Lingkungan,Dalam Proses
2020-09-27,Sumatera Utara,Korupsi,33,Laki-laki,TNI,Ketidaktahuan Hukum,Dalam Proses
2021-09-10,DKI Jakarta,Pencurian,15,Laki-laki,Pedagang,Kebutuhan Mendesak,Dalam Proses
2020-07-10,Papua,Penyalahgunaan Narkoba,20,Laki-laki,Tukang,Konflik Personal,Selesai
2021-05-27,Sumatera Barat,Penyalahgunaan Narkoba,40,Laki-laki,Buruh,Konflik Personal,Dalam Proses
2023-09-22,Sumatera Utara,Pencurian,31,Perempuan,TNI,Ketidaktahuan Hukum,Belum Terselesaikan
2020-12-04,DKI Jakarta,Kekerasan Dalam Rumah Tangga,24,Laki-laki,Tidak Bekerja,Tekanan Sosial,Selesai
2023-07-05,Jambi,Penipuan,20,Laki-laki,Pegawai Swasta,Pengaruh Lingkungan,Belum Terselesaikan
2023-12-03,Jawa Tengah,Penyalahgunaan Narkoba,32,Laki-laki,Perawat,Kecanduan,Dalam Proses
2022-05-29,Jawa Tengah,Pencurian,20,Perempuan,Tukang,Dendam,Selesai
2023-12-12,Jawa Barat,Penipuan,23,Laki-laki,Buruh,Ekonomi,Dalam Proses
2021-03-13,Lampung,Penipuan,29,Laki-laki,Pelajar,Dendam,Dalam Proses
2020-09-28,Sumatera Utara,Penyalahgunaan Narkoba,36,Perempuan,Sopir,Kecanduan,Selesai
2022-11-29,Nusa Tenggara Barat,Perampokan,47,Laki-laki,Tukang,Gangguan Mental,Belum Terselesaikan
2020-01-20,Kalimantan Timur,Pencurian,25,Laki-laki,Tidak Bekerja,Pengaruh Lingkungan,Dalam Proses
2021-12-04,DKI Jakarta,Pencurian,15,Laki-laki,Polisi,Dendam,Selesai
2024-10-27,Jawa Barat,Penyalahgunaan Narkoba,23,Laki-laki,Mahasiswa,Pengaruh Lingkungan,Selesai
2020-09-27,Jawa Tengah,Penganiayaan,34,Perempuan,Pelajar,Dendam,Dalam Proses
2021-04-13,Sumatera Utara,Penyalahgunaan Narkoba,34,Laki-laki,Mahasiswa,Dendam,Dalam Proses
2024-02-05,Sulawesi Selatan,Penganiayaan,17,Laki-laki,Perawat,Dendam,Dalam Proses
2020-07-30,Bali,Penipuan,21,Perempuan,PNS,Konflik Personal,Selesai
2024-12-09,Nusa Tenggara Barat,Penganiayaan,49,Perempuan,Pegawai Swasta,Cemburu,Belum Terselesaikan
2022-02-22,DKI Jakarta,Pencurian,32,Perempuan,Perawat,Cemburu,Selesai
2023-08-06,Sumatera Selatan,Penganiayaan,29,Perempuan,Tukang,Cemburu,Selesai
2020-05-20,Jawa Tengah,Pembunuhan,25,Laki-laki,Wiraswasta,Keserakahan,Belum Terselesaikan
2020-01-18,Jawa Tengah,Penganiayaan,29,Laki-laki,Sopir,Ketidaktahuan Hukum,Dalam Proses
2020-12-02,Jawa Tengah,Penipuan,31,Perempuan,Pelajar,Konflik Personal,Dalam Proses
2024-01-19,Sumatera Selatan,Penipuan,40,Laki-laki,Petani,Ketidaktahuan Hukum,Dalam Proses
2024-03-12,DKI Jakarta,Penipuan,30,Laki-laki,Pedagang,Tekanan Sosial,Selesai
2023-06-15,DKI Jakarta,Pencurian Kendaraan Bermotor,30,Laki-laki,Tukang,Gangguan Mental,Belum Terselesaikan
2024-10-27,DKI Jakarta,Perampokan,27,Perempuan,Petani,Dendam,Selesai
2020-07-24,DKI Jakarta,Penipuan,28,Laki-laki,Pedagang,Dendam,Selesai
2023-04-22,DKI Jakarta,Pembunuhan,33,Laki-laki,Guru,Tekanan Sosial,Dalam Proses
2021-12-20,Papua,Pencurian,23,Laki-laki,Mahasiswa,Konflik Personal,Selesai
2024-06-08,Kalimantan Selatan,Penipuan,29,Laki-laki,Pedagang,Kecanduan,Selesai
2021-07-21,Jawa Barat,Perampokan,36,Laki-laki,Tukang,Dendam,Dalam Proses
2021-05-23,DKI Jakarta,Penipuan,17,Laki-laki,Wiraswasta,Keserakahan,Dalam Proses
2023-05-13,Jawa Tengah,Pemerkosaan,27,Laki-laki,Guru,Keserakahan,Selesai
2021-08-06,Jawa Timur,Penyalahgunaan Narkoba,29,Laki-laki,Perawat,Pengaruh Lingkungan,Dalam Proses
2020-02-24,Jawa Tengah,Penipuan,30,Laki-laki,Polisi,Ketidaktahuan Hukum,Dalam Proses
2024-11-28,Jawa Barat,Penipuan,23,Laki-laki,Pegawai Swasta,Kecanduan,Selesai
2022-11-26,Jawa Tengah,Pembunuhan,28,Laki-laki,Sopir,Provokasi,Selesai
2021-01-21,Bali,Pencurian,35,Perempuan,Guru,Tekanan Sosial,Selesai
2021-08-28,Jawa Tengah,Pencurian Kendaraan Bermotor,28,Laki-laki,Tukang,Ekonomi,Selesai
2024-05-24,Jawa Timur,Penyalahgunaan Narkoba,25,Perempuan,TNI,Kecanduan,Selesai
2022-10-10,Maluku,Pencurian,21,Laki-laki,Mahasiswa,Dendam,Selesai
2021-05-08,Bengkulu,Penipuan,21,Laki-laki,Pelajar,Ketidaktahuan Hukum,Selesai
2023-05-01,Kalimantan Selatan,Pemerkosaan,26,Laki-laki,Buruh,Provokasi,Selesai
2024-12-25,Jawa Tengah,Pencurian Kendaraan Bermotor,20,Perempuan,Tidak Bekerja,Konflik Personal,Selesai
2021-10-10,Jawa Timur,Penipuan,40,Laki-laki,Pedagang,Tekanan Sosial,Belum Terselesaikan
2024-10-28,Maluku,Penipuan,23,Laki-laki,Polisi,Keserakahan,Selesai
2022-05-11,Jawa Barat,Penipuan,30,Laki-laki,PNS,Provokasi,Selesai
2023-10-30,Sumatera Selatan,Penyalahgunaan Narkoba,25,Laki-laki,Pedagang,Gangguan Mental,Belum Terselesaikan
2024-04-26,Sumatera Barat,Penipuan,27,Perempuan,Buruh,Ekonomi,Dalam Proses
2023-04-17,Sulawesi Utara,Penganiayaan,22,Laki-laki,Buruh,Ekonomi,Selesai
2021-06-20,Jawa Tengah,Penyalahgunaan Narkoba,22,Laki-laki,Petani,Ekonomi,Selesai
2020-05-03,Jawa Timur,Pencurian,35,Laki-laki,Perawat,Tekanan Sosial,Selesai
2022-11-03,DKI Jakarta,Pencurian,23,Laki-laki,Pegawai Swasta,Ketidaktahuan Hukum,Selesai
2023-12-30,Sulawesi Utara,Pencurian,19,Perempuan,Wiraswasta,Tekanan Sosial,Belum Terselesaikan
2022-05-17,Sumatera Barat,Penganiayaan,18,Laki-laki,Guru,Tekanan Sosial,Selesai
2020-06-17,DKI Jakarta,Penganiayaan,40,Laki-laki,Tukang,Provokasi,Belum Terselesaikan
2023-01-06,DKI Jakarta,Pembunuhan,24,Laki-laki,Sopir,Cemburu,Selesai
2021-07-22,Jawa Barat,Penganiayaan,17,Perempuan,Buruh,Kebutuhan Mendesak,Selesai
2020-06-10,Sumatera Utara,Pembunuhan,27,Laki-laki,Wiraswasta,Kecanduan,Belum Terselesaikan
2024-07-12,Sumatera Barat,Pencurian,43,Laki-laki,Pedagang,Provokasi,Dalam Proses
2021-10-31,DKI Jakarta,Kekerasan Dalam Rumah Tangga,30,Laki-laki,Mahasiswa,Keserakahan,Selesai
2023-07-23,Nusa Tenggara Barat,Penipuan,25,Laki-laki,Perawat,Ketidaktahuan Hukum,Selesai
2023-10-26,DKI Jakarta,Pencurian,21,Laki-laki,Tukang,Dendam,Selesai
2021-09-27,Sumatera Selatan,Penyalahgunaan Narkoba,30,Laki-laki,Guru,Tekanan Sosial,Selesai
2024-02-03,Maluku,Penipuan,23,Perempuan,Polisi,Kecanduan,Dalam Proses
2020-04-28,Sumatera Selatan,Penipuan,31,Laki-laki,Petani,Dendam,Selesai
2022-06-08,Sumatera Utara,Penganiayaan,24,Laki-laki,Buruh,Gangguan Mental,Dalam Proses
2023-06-07,Nusa Tenggara Barat,Pencurian,15,Laki-laki,Sopir,Ekonomi,Selesai
2021-09-25,Sumatera Selatan,Perampokan,26,Perempuan,Tukang,Pengaruh Lingkungan,Selesai
2023-09-09,Sumatera Selatan,Pencurian,30,Perempuan,Guru,Cemburu,Selesai
2020-09-01,Kalimantan Timur,Pembunuhan,25,Laki-laki,Tidak Bekerja,Pengaruh Lingkungan,Selesai
2020-10-08,Sumatera Selatan,Pencurian,33,Laki-laki,Guru,Ekonomi,Selesai
2020-12-01,Jawa Timur,Korupsi,18,Perempuan,Pelajar,Konflik Personal,Dalam Proses
2022-12-07,Kalimantan Selatan,Penyalahgunaan Narkoba,28,Laki-laki,Wiraswasta,Pengaruh Lingkungan,Selesai
2021-06-14,Kalimantan Timur,Pencurian,39,Perempuan,Pedagang,Konflik Personal,Selesai
2020-09-16,Sulawesi Selatan,Pembunuhan,25,Laki-laki,Guru,Kebutuhan Mendesak,Selesai
2024-02-10,Jawa Tengah,Penipuan,25,Laki-laki,TNI,Dendam,Selesai
2024-04-28,Nusa Tenggara Barat,Pencurian,23,Perempuan,TNI,Ekonomi,Dalam Proses
2021-11-17,DKI Jakarta,Pencurian Kendaraan Bermotor,15,Perempuan,Perawat,Tekanan Sosial,Selesai
2021-07-11,Kalimantan Timur,Pencurian,35,Perempuan,Wiraswasta,Dendam,Selesai
2021-06-22,Sumatera Selatan,Pencurian,36,Laki-laki,Guru,Keserakahan,Dalam Proses
2023-07-09,Sumatera Utara,Korupsi,33,Laki-laki,Buruh,Gangguan Mental,Dalam Proses
2022-07-21,Sulawesi Utara,Penipuan,24,Perempuan,Wiraswasta,Konflik Personal,Selesai
2020-04-23,Sumatera Utara,Pembunuhan,16,Laki-laki,Pelajar,Keserakahan,Dalam Proses
2020-12-07,Jawa Barat,Pencurian,27,Laki-laki,PNS,Cemburu,Belum Terselesaikan
2021-06-06,Jawa Tengah,Kekerasan Dalam Rumah Tangga,28,Perempuan,Perawat,Dendam,Selesai
2023-03-21,DKI Jakarta,Penyalahgunaan Narkoba,20,Perempuan,Tukang,Pengaruh Lingkungan,Selesai
2020-08-24,Bali,Pencurian,27,Laki-laki,Petani,Pengaruh Lingkungan,Selesai
2022-11-08,Riau,Penyalahgunaan Narkoba,24,Laki-laki,Tidak Bekerja,Ekonomi,Selesai
2024-10-24,Sumatera Utara,Penganiayaan,38,Laki-laki,Polisi,Ekonomi,Selesai
2021-05-15,Maluku,Pencurian,15,Laki-laki,Tidak Bekerja,Gangguan Mental,Selesai
2022-01-15,Jawa Timur,Penipuan,26,Perempuan,Mahasiswa,Cemburu,Dalam Proses
2021-01-01,Sulawesi Utara,Pencurian,39,Laki-laki,TNI,Ekonomi,Selesai
2023-02-06,Jawa Tengah,Pencurian,42,Laki-laki,Perawat,Pengaruh Lingkungan,Selesai
2024-02-25,Kalimantan Timur,Penyalahgunaan Narkoba,26,Laki-laki,Tukang,Tekanan Sosial,Belum Terselesaikan
2021-04-04,Sumatera Barat,Korupsi,36,Laki-laki,PNS,Kecanduan,Selesai
2022-05-02,Jawa Timur,Penganiayaan,23,Perempuan,TNI,Pengaruh Lingkungan,Dalam Proses
2021-10-17,Jawa Barat,Penganiayaan,26,Perempuan,Pegawai Swasta,Dendam,Dalam Proses
2023-03-16,Sumatera Utara,Penipuan,15,Perempuan,PNS,Dendam,Selesai
2022-10-25,Jawa Barat,Penganiayaan,22,Laki-laki,Tukang,Ekonomi,Dalam Proses
2021-01-02,DKI Jakarta,Penyalahgunaan Narkoba,25,Perempuan,Petani,Provokasi,Dalam Proses
2020-04-04,Lampung,Penipuan,32,Laki-laki,Mahasiswa,Dendam,Selesai
2024-12-01,Jawa Timur,Pencurian Kendaraan Bermotor,15,Laki-laki,Pelajar,Kebutuhan Mendesak,Dalam Proses
2024-05-03,Sumatera Selatan,Penipuan,30,Perempuan,Polisi,Kebutuhan Mendesak,Selesai
2021-11-01,Jawa Tengah,Pencurian Kendaraan Bermotor,18,Laki-laki,Buruh,Provokasi,Dalam Proses
2022-07-24,DKI Jakarta,Pencurian Kendaraan Bermotor,21,Perempuan,Tidak Bekerja,Konflik Personal,Selesai
2021-02-14,Kalimantan Selatan,Penipuan,38,Perempuan,Pegawai Swasta,Keserakahan,Selesai
2024-05-25,Jawa Timur,Penganiayaan,24,Laki-laki,Pegawai Swasta,Pengaruh Lingkungan,Selesai
2023-06-29,DKI Jakarta,Penyalahgunaan Narkoba,17,Perempuan,Petani,Gangguan Mental,Dalam Proses
2022-01-24,Sumatera Utara,Penipuan,25,Laki-laki,Sopir,Gangguan Mental,Selesai
2024-05-01,Jawa Barat,Perampokan,21,Laki-laki,Perawat,Kecanduan,Belum Terselesaikan
2024-02-09,Sumatera Utara,Penipuan,24,Perempuan,TNI,Provokasi,Selesai
2024-04-06,Jawa Tengah,Pencurian,15,Laki-laki,Perawat,Kecanduan,Selesai
2020-11-04,Sumatera Barat,Pencurian,19,Laki-laki,Tidak Bekerja,Tekanan Sosial,Selesai
2020-02-18,Maluku,Penipuan,18,Laki-laki,Petani,Provokasi,Selesai
2021-12-10,Jawa Tengah,Pencurian,34,Laki-laki,Tukang,Pengaruh Lingkungan,Dalam Proses
2024-12-01,DKI Jakarta,Penganiayaan,29,Laki-laki,Tidak Bekerja,Konflik Personal,Selesai
2020-01-03,Jawa Tengah,Perampokan,15,Perempuan,Perawat,Ketidaktahuan Hukum,Selesai
2022-02-09,DKI Jakarta,Korupsi,33,Laki-laki,Polisi,Pengaruh Lingkungan,Selesai
2024-01-29,Sumatera Barat,Penganiayaan,15,Laki-laki,Pegawai Swasta,Dendam,Selesai
2021-02-24,Sulawesi Selatan,Penganiayaan,28,Perempuan,Wiraswasta,Kecanduan,Dalam Proses
2022-05-09,Sumatera Selatan,Pencurian,20,Perempuan,Pelajar,Ekonomi,Dalam Proses
2020-10-18,DKI Jakarta,Penipuan,37,Laki-laki,Guru,Kebutuhan Mendesak,Selesai
2020-07-09,Papua,Perampokan,18,Perempuan,Tidak Bekerja,Kecanduan,Belum Terselesaikan
2024-09-27,DKI Jakarta,Penyalahgunaan Narkoba,36,Laki-laki,Wiraswasta,Tekanan Sosial,Belum Terselesaikan
2023-12-06,Sumatera Selatan,Perampokan,25,Laki-laki,TNI,Konflik Personal,Selesai
2022-07-27,Sulawesi Selatan,Pencurian,18,Laki-laki,Guru,Dendam,Dalam Proses
2023-04-04,Jawa Tengah,Pencurian,39,Laki-laki,Buruh,Provokasi,Selesai
2020-09-30,Sumatera Utara,Perampokan,15,Laki-laki,Tukang,Tekanan Sosial,Selesai
2020-06-02,Jawa Tengah,Kekerasan Dalam Rumah Tangga,30,Perempuan,Sopir,Keserakahan,Selesai
2020-05-07,Sumatera Barat,Pembunuhan,25,Laki-laki,Mahasiswa,Ketidaktahuan Hukum,Selesai
2020-09-24,Riau,Penyalahgunaan Narkoba,27,Laki-laki,Petani,Kebutuhan Mendesak,Selesai
2021-06-18,Sulawesi Selatan,Pembunuhan,40,Laki-laki,Polisi,Konflik Personal,Dalam Proses
2024-06-28,Sulawesi Selatan,Penipuan,38,Perempuan,Mahasiswa,Pengaruh Lingkungan,Selesai
2024-08-30,DKI Jakarta,Pencurian,23,Laki-laki,Guru,Konflik Personal,Selesai
2021-10-13,Sumatera Utara,Penipuan,19,Laki-laki,Pelajar,Kebutuhan Mendesak,Dalam Proses
2021-04-23,Jawa Timur,Penipuan,31,Perempuan,Buruh,Kecanduan,Selesai
2020-10-05,Jawa Barat,Penyalahgunaan Narkoba,32,Laki-laki,Perawat,Keserakahan,Selesai
2020-08-11,DKI Jakarta,Pembunuhan,27,Perempuan,Pedagang,Dendam,Dalam Proses
2020-12-02,Sulawesi Utara,Penipuan,36,Perempuan,Pelajar,Gangguan Mental,Selesai
2021-10-05,Maluku,Penganiayaan,39,Perempuan,Mahasiswa,Dendam,Selesai
2023-01-02,Jawa Barat,Penganiayaan,26,Perempuan,PNS,Kecanduan,Dalam Proses
2022-07-14,Sulawesi Utara,Pencurian,45,Perempuan,Pegawai Swasta,Gangguan Mental,Selesai
2021-06-26,Bali,Penganiayaan,24,Laki-laki,Polisi,Dendam,Selesai
2020-07-04,Jawa Tengah,Penganiayaan,25,Laki-laki,Pedagang,Ketidaktahuan Hukum,Selesai
2021-09-15,Sumatera Utara,Perampokan,29,Laki-laki,Polisi,Pengaruh Lingkungan,Dalam Proses
2023-11-28,Sumatera Selatan,Pencurian,26,Laki-laki,Sopir,Ekonomi,Dalam Proses
2021-03-16,Sumatera Barat,Penipuan,18,Laki-laki,Polisi,Konflik Personal,Selesai
2020-10-30,Sumatera Barat,Penipuan,17,Laki-laki,Buruh,Pengaruh Lingkungan,Belum Terselesaikan
2021-05-23,Jawa Tengah,Penganiayaan,28,Perempuan,PNS,Tekanan Sosial,Selesai
2022-11-17,Sumatera Selatan,Pencurian,21,Perempuan,Tidak Bekerja,Ketidaktahuan Hukum,Dalam Proses
2021-09-04,Sulawesi Selatan,Penyalahgunaan Narkoba,29,Laki-laki,Pegawai Swasta,Cemburu,Selesai
2020-03-04,Bali,Pencurian Kendaraan Bermotor,34,Laki-laki,Mahasiswa,Gangguan Mental,Selesai
2023-02-12,Sumatera Utara,Pencurian,27,Laki-laki,Guru,Provokasi,Selesai
2021-05-26,Sumatera Utara,Penipuan,30,Laki-laki,Buruh,Gangguan Mental,Selesai
2020-07-27,Jawa Barat,Pencurian,27,Perempuan,Perawat,Cemburu,Selesai
2020-09-05,Sulawesi Selatan,Pencurian,15,Laki-laki,Tidak Bekerja,Ekonomi,Selesai
2024-08-27,Jawa Barat,Penipuan,31,Laki-laki,Perawat,Kecanduan,Belum Terselesaikan
2020-09-24,Jawa Tengah,Pencurian,31,Laki-laki,Petani,Tekanan Sosial,Belum Terselesaikan
2022-02-01,Riau,Pencurian,17,Laki-laki,Tukang,Ketidaktahuan Hukum,Selesai
2023-08-13,Sumatera Selatan,Penipuan,21,Laki-laki,Buruh,Keserakahan,Selesai
2023-04-15,Jawa Barat,Penyalahgunaan Narkoba,22,Laki-laki,Pegawai Swasta,Dendam,Belum Terselesaikan
2020-02-14,DKI Jakarta,Perampokan,22,Laki-laki,Buruh,Kecanduan,Selesai
2023-08-15,Maluku,Pencurian,30,Laki-laki,Pelajar,Cemburu,Selesai
2020-07-07,Aceh,Penipuan,34,Perempuan,TNI,Konflik Personal,Selesai
2020-09-07,Jawa Timur,Penganiayaan,22,Laki-laki,Tidak Bekerja,Gangguan Mental,Selesai
2020-04-13,Jawa Barat,Penipuan,17,Perempuan,Pedagang,Keserakahan,Dalam Proses
2022-06-06,DKI Jakarta,Penyalahgunaan Narkoba,26,Laki-laki,Polisi,Pengaruh Lingkungan,Belum Terselesaikan
2022-03-19,DKI Jakarta,Pencurian,35,Laki-laki,Pelajar,Ekonomi,Selesai
2022-02-22,Jawa Barat,Pencurian,34,Perempuan,Tukang,Tekanan Sosial,Selesai
2020-12-19,Sumatera Utara,Pencurian Kendaraan Bermotor,28,Laki-laki,PNS,Kecanduan,Selesai
2021-01-18,Jawa Timur,Penipuan,29,Laki-laki,Pegawai Swasta,Kebutuhan Mendesak,Belum Terselesaikan
2022-07-02,Jawa Barat,Perampokan,26,Laki-laki,TNI,Cemburu,Dalam Proses
